TeamID,GameID,1stDowns,RushAtt,RushYDs,RushTDs,PassComp,PassAtt,PassYDs,PassTDs,Ints,Sacked,SackedYDs,NetPassYDs,TotalYDs,Fumbles,FumblesLost,Turnovers,Penalties,PenaltyYDs,3rdM,3rdAtt,4thM,4thAtt,TOP,Q1,Q2,Q3,Q4,OT,URL
PHI,,25,38,208,2,25,36,231,0,0,2,10,221,429,2,1,1,10,77,5,14,0,1,38:10,7,0,3,14,,http://www.pro-football-reference.com/boxscores/201611130phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
MIA,,17,25,106,1,17,24,240,2,0,1,9,231,337,3,1,1,11,81,4,10,0,0,27:01,0,7,14,10,,http://www.pro-football-reference.com/boxscores/201611130sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
SDG,,29,24,70,0,23,44,326,3,4,3,17,309,379,0,0,4,4,29,6,11,0,0,32:59,0,10,7,7,,http://www.pro-football-reference.com/boxscores/201611130sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
DAL,,20,25,127,2,22,32,319,2,0,2,24,295,422,1,1,1,10,98,7,13,0,0,30:24,10,3,10,12,,http://www.pro-football-reference.com/boxscores/201611130pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
PIT,,30,19,48,1,37,46,408,3,0,1,8,400,448,1,0,0,4,40,4,10,0,0,29:36,12,3,3,12,,http://www.pro-football-reference.com/boxscores/201611130pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
SFO,,15,28,83,1,17,30,210,1,0,3,12,198,281,1,1,1,9,100,7,17,1,1,27:42,0,10,3,7,,http://www.pro-football-reference.com/boxscores/201611130crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
ARI,,26,23,80,1,30,49,376,1,2,2,13,363,443,2,2,4,2,10,7,14,0,0,32:18,7,13,0,3,,http://www.pro-football-reference.com/boxscores/201611130crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
SEA,,23,26,96,0,25,37,348,3,0,3,24,324,420,1,0,0,8,60,6,12,0,0,30:25,6,13,3,9,,http://www.pro-football-reference.com/boxscores/201611130nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
NWE,,25,28,81,3,23,32,316,0,1,2,12,304,385,3,1,2,7,61,6,10,0,1,29:35,7,7,7,3,,http://www.pro-football-reference.com/boxscores/201611130nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
CIN,,12,23,78,1,16,29,204,1,1,3,18,186,264,0,0,1,9,60,2,11,0,0,28:37,7,3,10,0,,http://www.pro-football-reference.com/boxscores/201611140nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
