Team,1st Downs,RushAtt,RushYDs,RushTDs,PassComp,PassAtt,PassYds,PassTDs,INT,Sacked,SackedYDs,NetPassYDs,TotalYDs,Fumbles,FumblesLost,TotalTurnovers,Penalties,PenaltyYDs,3rdMade,3rdAtt,4thMade,4thAtt,TOP,Q1pts,Q2pts,Q3pts,Q4pts,OTpts,URL
CLE,18,19,68,0,25,38,230,0,1,3,25,205,273,1,1,2,7,84,6,13,0,2,29:02:00,0,3,0,0,null,http://www.pro-football-reference.com/boxscores/201512060cle.htm
CIN,22,33,108,1,22,35,200,1,0,2,14,186,294,1,1,1,6,45,10,17,0,0,37:28:00,7,7,0,3,0,http://www.pro-football-reference.com/boxscores/201512280den.htm
DEN,22,21,113,1,27,39,299,1,0,3,22,277,390,1,1,1,5,40,4,11,0,0,27:50:00,0,3,7,7,3,http://www.pro-football-reference.com/boxscores/201512280den.htm
CIN,22,31,127,2,25,34,269,2,0,0,0,269,396,0,0,0,6,50,4,13,1,1,32:32:00,7,17,9,0,null,http://www.pro-football-reference.com/boxscores/201509130rai.htm
OAK,16,16,63,0,30,43,203,2,1,2,20,183,246,2,1,2,5,32,3,12,2,3,27:28:00,0,0,0,13,null,http://www.pro-football-reference.com/boxscores/201509130rai.htm
CIN,16,23,78,0,23,38,231,1,2,3,13,218,296,2,0,2,10,94,4,15,0,0,29:51:00,3,3,0,10,null,http://www.pro-football-reference.com/boxscores/201511010pit.htm
PIT,21,19,116,0,28,45,262,1,3,3,22,240,356,0,0,3,10,91,3,11,0,0,30:09:00,7,0,3,0,null,http://www.pro-football-reference.com/boxscores/201511010pit.htm
CIN,14,36,68,2,15,21,192,1,0,4,18,174,242,1,1,1,6,45,4,14,0,1,30:59:00,0,21,3,0,null,http://www.pro-football-reference.com/boxscores/201512200sfo.htm
SFO,17,17,55,1,30,50,295,1,3,4,32,263,318,1,1,4,11,98,2,14,2,2,29:01:00,0,0,7,7,null,http://www.pro-football-reference.com/boxscores/201512200sfo.htm
CLE,25,25,83,1,36,51,457,2,0,4,35,422,505,0,0,0,9,74,12,19,0,0,39:16:00,3,6,7,14,3,http://www.pro-football-reference.com/boxscores/201510110rav.htm
BAL,22,31,181,3,19,35,210,1,0,1,14,196,377,0,0,0,12,98,5,14,0,0,29:01:00,14,0,7,9,0,http://www.pro-football-reference.com/boxscores/201510110rav.htm
CLE,13,17,69,0,15,33,168,1,0,3,24,144,213,0,0,0,4,28,4,13,1,2,23:57,3,7,0,0,null,http://www.pro-football-reference.com/boxscores/201511050cin.htm
CIN,23,37,152,1,21,27,234,3,0,2,15,219,371,0,0,0,2,20,8,14,1,1,36:03:00,7,7,3,14,null,http://www.pro-football-reference.com/boxscores/201511050cin.htm
CLE,21,36,232,1,13,32,136,0,1,0,0,136,368,0,0,1,8,83,6,15,3,4,31:04:00,0,3,7,3,null,http://www.pro-football-reference.com/boxscores/201512270kan.htm
KAN,16,27,136,0,15,22,125,2,1,1,3,122,258,1,0,1,5,33,4,12,1,1,28:56:00,10,7,0,0,null,http://www.pro-football-reference.com/boxscores/201512270kan.htm
CLE,15,28,104,0,18,32,231,1,1,3,14,217,321,4,4,5,12,109,8,16,1,2,31:40:00,0,10,0,0,null,http://www.pro-football-reference.com/boxscores/201509130nyj.htm
