Player,Tm,Int,Yds,TD,Lng,Sk,Tkl,Ast,FR,Yds,TD,FF,
LaRoy Reynolds,ATL,0,0,0,0,0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Robenson Therezie,ATL,0,0,0,0,0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Philip Wheeler,ATL,0,0,0,0,0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ezekiel Ansah,DET,0,0,0,0,0,1,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Thurston Armbrister,DET,0,0,0,0,0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adairius Barnes,DET,0,0,0,0,0,1,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Rafael Bush,DET,0,0,0,0,0,1,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Bynes,DET,0,0,0,0,0,5,3,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon Copeland,DET,0,0,0,0,0,0,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Quandre Diggs,DET,0,0,0,0,0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kerry Hyder,DET,0,0,0,0,0,1,2,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Miles Killebrew,DET,1,7,0,7,0,2,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nevin Lawson,DET,0,0,0,0,0,6,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Haloti Ngata,DET,0,0,0,0,0,0,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Glover Quin,DET,1,0,0,0,0,4,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
A'Shawn Robinson,DET,0,0,0,0,0,2,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
