Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,
Steven Hauschka,SEA,,,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Johnny Hekker,LAR,,,,,6,237,39.5,52,http://www.pro-football-reference.com/boxscores/201609180ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Greg Zuerlein,LAR,,,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Vinatieri,IND,2,2,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Pat McAfee,IND,,,,,4,226,56.5,72,http://www.pro-football-reference.com/boxscores/201609180den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon McManus,DEN,2,2,4,5,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Riley Dixon,DEN,,,,,2,98,49.0,53,http://www.pro-football-reference.com/boxscores/201609180den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Bryant,ATL,3,3,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matthew Bosher,ATL,,,,,3,132,44.0,60,http://www.pro-football-reference.com/boxscores/201609180rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sebastian Janikowski,OAK,4,4,,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marquette King,OAK,,,,,4,211,52.8,64,http://www.pro-football-reference.com/boxscores/201609180rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jason Myers,JAX,2,2,,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brad Nortman,JAX,,,,,4,179,44.8,56,http://www.pro-football-reference.com/boxscores/201609180sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Lambo,SDG,5,5,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Drew Kaser,SDG,,,,,4,173,43.3,56,http://www.pro-football-reference.com/boxscores/201609180sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mason Crosby,GNB,2,2,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jake Schum,GNB,,,,,5,193,38.6,44,http://www.pro-football-reference.com/boxscores/201609180min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Blair Walsh,MIN,2,2,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeff Locke,MIN,,,,,7,273,39.0,50,http://www.pro-football-reference.com/boxscores/201609180min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
